id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K406902,66.071999,13.932095,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i innmark.,Bjørn,Sau,2007-09-10,2007,Hemnes (N),"på innmark, Bryggfjellet",Rovviltskade,Dokumentert
K406932,65.626635,13.933663,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i innmark.,Bjørn,Sau,2007-09-19,2007,Aarborte - Hattfjelldal (N),Grolia,Rovviltskade,Antatt sikker
K406952,60.998339,10.904465,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-20,2007,Ringsaker (N),Danseråsen,Rovviltskade,Dokumentert
K407040,60.839769,9.962062,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i inngjerdet innmark.,Gaupe,Sau,2007-09-19,2007,Nordre Land (N),Ulvshus,Rovviltskade,Antatt sikker
K407071,61.209766,10.244555,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-09-20,2007,Gausdal (N),Graffermorka,Rovviltskade,Dokumentert
K412848,63.294639,11.619126,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2008-08-01,2008,Meråker (N),Risakkelva,Rovviltskade,Dokumentert
K406638,62.591704,10.002779,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2007-09-16,2007,Rennebu (N),kvolvdalen/Innerdalen,Rovviltskade,Dokumentert
K406649,62.807886,9.568321,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2007-09-16,2007,Rennebu (N),Grønlifjellet,Rovviltskade,Dokumentert
K406655,62.721394,9.940671,Sau skadet av jerv,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i innmark.,Jerv,Sau,2007-09-18,2007,Rennebu (N),Håggåsen,Rovviltskade,Dokumentert
K406693,61.826164,11.039122,Sau skadet av jerv,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2007-08-18,2007,Rendalen (N),Bergsetvollen,Rovviltskade,Dokumentert
K406707,61.845016,10.977682,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-18,2007,Rendalen (N),Kalberget,Rovviltskade,Dokumentert
K406737,62.486946,10.560071,Sau skadet av ulv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Ulv,Sau,2007-08-29,2007,Tolga (N),Magnilsjøan,Rovviltskade,Dokumentert
K406767,62.118393,10.748152,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-24,2007,Tynset (N),Einåsen,Rovviltskade,Dokumentert
K406797,62.316503,10.773147,Sau skadet av ulv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Ulv,Sau,2007-09-02,2007,Tynset (N),Veslåsen,Rovviltskade,Antatt sikker
K406819,61.704324,10.613075,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-09-03,2007,Ringebu (N),Hirkjølen,Rovviltskade,Dokumentert
K406828,62.181998,11.19949,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-09-06,2007,Rendalen (N),Brennhøgda,Rovviltskade,Dokumentert
K406839,62.20065,11.212384,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Sau,2007-08-31,2007,Tynset (N),Brennhøgda,Rovviltskade,Antatt sikker
K406847,62.102977,11.142012,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-16,2007,Rendalen (N),Joten,Rovviltskade,Dokumentert
K406858,62.133051,11.113452,Sau skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Sau,2007-07-30,2007,Rendalen (N),Brennhøgda,Rovviltskade,Dokumentert
K406859,62.070968,9.882218,Sau skadet av jerv,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Sau,2007-09-06,2007,Dovre (N),Ørnhovda,Rovviltskade,Antatt sikker
K406863,60.313115,11.938213,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Sau,2007-08-26,2007,Kongsvinger (N),Ringshella,Rovviltskade,Dokumentert
K406864,61.492211,10.703512,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-26,2007,Stor-Elvdal (N),Gålglupen,Rovviltskade,Dokumentert
K406877,66.416802,14.706571,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Sau,2007-09-15,2007,Rana (N),Ørtfjellhatten,Rovviltskade,Dokumentert
K406935,61.04151,10.962604,Sau skadet av bjørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Bjørn,Sau,2007-08-19,2007,Ringsaker (N),Døråsen,Rovviltskade,Dokumentert
K406975,70.784388,28.674403,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Rein,2007-09-11,2007,Berlevåg (N),Store Molvik,Rovviltskade,Antatt sikker
K415851,61.679715,11.248461,Hund skadet av ulv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Ulv,Hund,2008-11-30,2008,Rendalen (N),Nyberget,Rovviltskade,Dokumentert
K415928,64.315603,11.139449,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2008-12-02,2008,Namsos - Nåavmesjenjaelmie (N),Øvre Mølnåvatnet,Rovviltskade,Dokumentert
K415960,66.146484,14.113172,Rein skadet av jerv,Ett dyr er  skadd og avlivet. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2008-12-04,2008,Hemnes (N),Målvatn-området (Holtan slakteri),Rovviltskade,Dokumentert
K415962,68.391629,17.777135,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2008-11-22,2008,Narvik (N),Sildevik,Rovviltskade,Dokumentert
