id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K543860,69.563574,30.690595,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2025-11-22,2025,Sør-Varanger (N),Midtfjellet,Rovviltskade,Dokumentert
K543865,69.138908,20.069616,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2025-11-24,2025,Storfjord - Omasvuotna - Omasvuono (N),Vassdal,Rovviltskade,Dokumentert
K543908,64.809987,13.759902,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2025-12-03,2025,Raarvihke - Røyrvik (N),Jomafjellet,Rovviltskade,Dokumentert
K543942,64.793008,13.277721,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2025-12-03,2025,Raarvihke - Røyrvik (N),Tromsfjellet,Rovviltskade,Dokumentert
K543981,68.681972,17.015493,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2025-12-17,2025,Dielddanuorri - Tjeldsund (N),svellen,Rovviltskade,Dokumentert
K544014,66.891867,14.838547,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er usikker. Skaden skjedde i utmark.,Gaupe,Rein,2025-12-18,2025,Beiarn (N),tollådalen,Rovviltskade,Usikker
K544035,64.162112,12.962188,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2025-12-26,2025,Snåase - Snåsa (N),Plukkutjønnfjellet,Rovviltskade,Dokumentert
K544055,64.688086,13.196635,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Jerv,Rein,2026-01-05,2026,Raarvihke - Røyrvik (N),Flyan,Rovviltskade,Antatt sikker
K544061,66.296344,13.90725,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-01-07,2026,Rana (N),,Rovviltskade,Dokumentert
K544065,68.941784,18.812039,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Rein,2026-01-06,2026,Målselv (N),Storvannet ,Rovviltskade,Antatt sikker
K544101,64.424339,12.611456,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-01-11,2026,Grong (N),Østre Gusliklumpen,Rovviltskade,Dokumentert
K544117,68.479437,16.492344,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-01-14,2026,Dielddanuorri - Tjeldsund (N),vargenes,Rovviltskade,Dokumentert
K544288,68.318007,17.422524,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-01-26,2026,Narvik (N),Lagodalen,Rovviltskade,Dokumentert
K544374,69.6054,25.491247,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-01-20,2026,Kárášjohka - Karasjok (N),Luomeskaisi,Rovviltskade,Dokumentert
K544128,69.56126,25.583616,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2026-01-10,2026,Kárášjohka - Karasjok (N),Gimesvarri,Rovviltskade,Dokumentert
K544476,64.356134,12.243824,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Rein,2026-01-31,2026,Grong (N),Liatjønnin,Rovviltskade,Antatt sikker
K544477,64.363623,12.474649,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-02-02,2026,Snåase - Snåsa (N),Lonhattan,Rovviltskade,Dokumentert
K544556,64.891144,12.141536,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2026-02-05,2026,Nærøysund (N),Storvasslia,Rovviltskade,Antatt sikker
K544203,64.310782,11.907071,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-01-21,2026,Steinkjer (N),Trekvisla,Rovviltskade,Dokumentert
K544215,68.779752,22.533601,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2025-12-20,2025,Guovdageaidnu - Kautokeino (N),Livatvarri,Rovviltskade,Dokumentert
K544220,69.291012,22.346218,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2025-11-12,2025,Nordreisa - Ráisa - Raisi (N),Njargavarri ,Rovviltskade,Dokumentert
K544246,64.820379,13.012809,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2026-01-23,2026,Namsskogan (N),Nordre Rubben,Rovviltskade,Dokumentert
