id,lat,lon,title,comment,art,bytte,dato,aar,kommune,funnsted,datatype,vurdering
K520203,69.060147,20.468701,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2022-01-29,2022,Storfjord - Omasvuotna - Omasvuono (N),,Rovviltskade,Dokumentert
K520296,64.158661,13.988774,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-02,2022,Lierne (N),Eikdalen,Rovviltskade,Dokumentert
K520313,70.07508,24.478209,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2022-01-31,2022,Porsanger - Porsá?gu - Porsanki (N),Duolbarassa,Rovviltskade,Dokumentert
K520336,70.338731,25.424684,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-07,2022,Porsanger - Porsá?gu - Porsanki (N),Cahppesvarri omr,Rovviltskade,Antatt sikker
K520350,61.793384,14.339838,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av Länsstyrelsen. Skadeårsaken er antatt sikker.,Gaupe,Rein,2022-02-09,2022,Härjedalen (S),Stensjön,Rovviltskade,Antatt sikker
K520436,63.71507,10.106727,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Kongeørn,Rein,2022-02-15,2022,Indre Fosen (N),Fiksdal,Rovviltskade,Dokumentert
K520457,69.971821,28.758308,Rein skadet av kongeørn,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Kongeørn,Rein,2022-02-12,2022,Unjárga - Nesseby (N),Oddajohgiera,Rovviltskade,Antatt sikker
K520469,65.068622,12.496662,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Gaupe,Rein,2022-02-17,2022,Bindal (N),Sylta,Rovviltskade,Dokumentert
K520765,69.211171,21.879102,Rein skadet av jerv,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er dokumentert. Skaden skjedde i utmark.,Jerv,Rein,2022-03-05,2022,Nordreisa - Ráisa - Raisi (N),Roggeoaivi ,Rovviltskade,Dokumentert
K520766,62.369524,13.470882,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av en sameby. Skadeårsaken er antatt sikker.,Gaupe,Rein,2022-03-05,2022,Härjedalen (S),Hede,Rovviltskade,Antatt sikker
K520783,69.69,21.114966,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Rein,2022-03-06,2022,Nordreisa - Ráisa - Raisi (N),Storeste,Rovviltskade,Antatt sikker
K520824,66.067955,21.987129,Rein skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av Länsstyrelsen. Skadeårsaken er dokumentert.,Gaupe,Rein,2022-03-10,2022,Boden (S),Storberget,Rovviltskade,Dokumentert
K525091,63.30856,9.881142,Geit skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Geit,2022-09-28,2022,Orkland (N),Ulvåsen,Rovviltskade,Antatt sikker
K525114,69.443317,19.048157,Sau skadet av gaupe,Ett dyr er  drept. Skaden er undersøkt av SNO. Skadeårsaken er antatt sikker. Skaden skjedde i utmark.,Gaupe,Sau,2022-09-29,2022,Balsfjord (N),Olderlia i Storbukt ,Rovviltskade,Antatt sikker
